time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
6825600.00000000,-8097212334.86817169,92423844217.77568054,-74812814112.59259033,-92811415170.18516541,-180545421888.60983276,99339116114.61540222,-5707069411.22965622,-6528383383.60969543,122632901526.12538147
6912000.00000000,-8213790153.40481567,92218279284.05412292,-74336809315.66264343,-92620525590.44644165,-180076901541.46575928,99317193003.51434326,-5860236717.79757023,-6696747563.60184383,122103018641.06399536
6998400.00000000,-8330774621.29157257,92009425124.27468872,-73856218359.99168396,-92426761787.79708862,-179601948158.92590332,99294726207.73435974,-6015769935.58848381,-6867433246.41741657,121567946742.25527954
7084800.00000000,-8448167840.87767506,91797251303.60083008,-73371009376.22267151,-92230102724.38015747,-179120513205.67770386,99271703515.58001709,-6173687474.52278614,-7040450923.82328987,121027658204.69834900
7171200.00000000,-8565971996.29662037,91581726652.38958740,-72881149851.72135925,-92030526875.11697388,-178632546988.99523926,99248112336.24378967,-6334008129.51229286,-7215811326.49169731,120482124978.40794373
7257600.00000000,-8684189356.37261581,91362819243.78459167,-72386606615.36026001,-91828012214.81945801,-178137998626.45849609,99223939684.29113770,-6496751089.71480942,-7393525428.27220154,119931318584.90922546
7344000.00000000,-8802822277.66939926,91140496370.41229248,-71887345821.83403015,-91622536204.83547974,-177636816012.42871094,99199172163.38346863,-6661935948.07780552,-7573604450.58661366,119375210113.90911865
7430400.00000000,-8921873207.68938065,90914724520.13862610,-71383332935.49070740,-91414075779.20765686,-177128945783.22332764,99173795949.19500732,-6829582711.18065357,-7756059866.94990921,118813770220.16844177
7516800.00000000,-9041344688.23158836,90685469350.84130859,-70874532713.66239929,-91202607330.32536316,-176614333280.93133545,99147796771.47648621,-6999711809.38518810,-7940903407.62026119,118246969120.60157776
7603200.00000000,-9161239358.91742134,90452695664.15010071,-70360909189.47856140,-90988106694.04866028,-176092922515.80624390,99121159895.21553040,-7172344107.30460262,-8128147064.38135529,117674776591.63273621
