time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
8380800.00000000,-6975843789.58577919,88241434347.91867065,-60570311339.53825378,-89416102365.22857666,-172654470855.13507080,100047560011.64082336,-8688373845.18567085,-11353363492.78352928,121953471327.89732361
8467200.00000000,-7069164784.06140423,87973954163.01344299,-59960329294.74697113,-89180779621.25520325,-172097487024.27618408,100043647892.49356079,-8882215594.68341637,-11599667138.73719025,121464041402.25329590
8553600.00000000,-7163039743.32200718,87702627198.30877686,-59345288770.95224762,-88942252219.45642090,-171533498066.80587769,100039458361.28620911,-9078708037.22159004,-11849129131.50283432,120969830409.66592407
8640000.00000000,-7257474705.09549141,87427410894.08207703,-58725150529.58065796,-88700488187.51860046,-170962433131.05535889,100034980216.42106628,-9277877107.38592529,-12101777763.02665520,120470810313.15948486
8726400.00000000,-7352475904.18358135,87148261614.89721680,-58099874562.18103790,-88455454699.69021606,-170384219431.10244751,100030201806.35099792,-9479749396.12621880,-12357642183.79471016,119966952755.82994080
8812800.00000000,-7448049780.10035610,86865134614.47120667,-57469420072.95160675,-88207118047.19387817,-169798782177.75122070,100025111006.56307983,-9684352172.70577812,-12616752436.71991730,119458229066.38842773
8899200.00000000,-7544202985.08333588,86577983999.09078979,-56833745460.82762146,-87955443607.25941467,-169206044506.19128418,100019695195.15364075,-9891713407.65726471,-12879139492.89944267,118944610265.67387390
8985600.00000000,-7640942392.49809551,86286762689.50956726,-56192808301.12294769,-87700395810.69947815,-168605927400.14071655,100013941226.89288330,-10101861796.80243683,-13144835289.36879921,118426067074.22996521
9072000.00000000,-7738275105.65868664,85991422381.25218201,-55546565326.71919250,-87441938107.94398499,-167998349612.26309204,100007835405.66882324,-10314826786.39734077,-13413872768.98904991,117902569921.05026245
9158400.00000000,-7836208467.08758545,85691913503.24861145,-54894972408.79700470,-87180032933.44366455,-167383227580.63397217,100001363455.19114685,-10530638599.46876526,-13686285922.61459732,117374088953.60574341
9244800.00000000,-7934750068.24039650,85388185174.71713257,-54237984537.10456848,-86914641668.34710693,-166760475341.01605225,99994510487.82507324,-10749328263.41251183,-13962109833.70102882,116840594049.27938843
9331200.00000000,-8033907759.72215080,85080185160.21038818,-53575555799.75940704,-86645724601.34878540,-166130004434.68463135,99987260971.41435242,-10970927638.92907906,-14241380725.52571869,116302054828.34494019
9417600.00000000,-8133689662.02378464,84767859822.73428345,-52907639362.58051300,-86373240887.59835815,-165491723811.52593994,99979598693.94032288,-11195469450.37786484,-14524136011.20829201,115758440668.64007568
9504000.00000000,-8234104176.80924129,84451154074.84455872,-52234187447.94899750,-86097148505.55378723,-164845539728.11065674,99971506725.85003662,-11422987317.63698006,-14810414346.73385239,115209720722.09884644
9590400.00000000,-8335159998.78559875,84130011327.62089539,-51555151313.19674683,-85817404211.65216064,-164191355640.42166138,99962967379.87216187,-11653515789.56224632,-15100255687.19920158,114655863933.32447815
9676800.00000000,-8436866128.19078159,83804373437.41290283,-50870481228.52422333,-85533963492.66319275,-163529072090.89154053,99953962168.12249756,-11887090379.14603424,-15393701346.52131653,114096839060.40161133
9763200.00000000,-8539231883.93566418,83474180650.24656677,-50180126454.45006561,-85246780515.58007812,-162858586589.37832642,99944471756.28323364,-12123747600.48426247,-15690794060.86818886,113532614698.16671753
9849600.00000000,-8642266917.43980980,83139371543.77401733,-49484035218.79737854,-84955808074.89192200,-162179793487.67883301,99934475914.61982727,-12363525007.66826630,-15991578056.09514999,112963159304.17742920
9936000.00000000,-8745981227.20269585,82799882966.64291382,-48782154693.22364807,-84660997537.06988525,-161492583847.14782715,99923953465.57772827,-12606461235.72741890,-16296099119.49503708,112388441227.64579773
10022400.00000000,-8850385174.15505791,82455649975.15513611,-48074430969.30387878,-84362298782.08663940,-160796845298.95666504,99912882227.67634583,-12852596043.75829697,-16604404676.19842911,111808428741.62741089
10108800.00000000,-8955489497.83796310,82106605767.07774353,-47360809034.17939758,-84059660141.77484131,-160092461896.48681641,99901238955.39100647,-13101970360.38718605,-16916543870.59087944,111223090078.78826904
